#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  0.85  4.76  4.03 129 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 01 00 30 999 99.0 99.0  0.84  4.35  4.05 126 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 01 01 00 999 99.0 99.0  0.84  4.76  4.17 128 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 01 01 30 999 99.0 99.0  0.81  5.00  4.15 126 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 01 02 00 999 99.0 99.0  0.81  4.55  4.18 136 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 01 02 30 999 99.0 99.0  0.83  4.76  4.22 126 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 01 03 00 999 99.0 99.0  0.75  4.55  4.20 129 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 01 03 30 999 99.0 99.0  0.78  4.35  4.08 130 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 01 04 00 999 99.0 99.0  0.82  4.55  4.23 128 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 01 04 30 999 99.0 99.0  0.83  4.35  4.17 130 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 05 00 999 99.0 99.0  0.81  4.55  4.18 115 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 05 30 999 99.0 99.0  0.77  4.35  4.14 112 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 06 00 999 99.0 99.0  0.71  4.55  4.16 118 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 06 30 999 99.0 99.0  0.70  4.35  4.26 118 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 07 00 999 99.0 99.0  0.68  8.33  4.27 111 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 07 30 999 99.0 99.0  0.69  4.55  4.42 111 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 08 00 999 99.0 99.0  0.69  8.33  4.37 107 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 08 30 999 99.0 99.0  0.67 16.67  4.61  76 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 09 00 999 99.0 99.0  0.70  9.09  4.65 102 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 09 30 999 99.0 99.0  0.64  9.09  4.66 112 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 10 00 999 99.0 99.0  0.67  5.00  4.65 115 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 10 30 999 99.0 99.0  0.64  9.09  4.71 105 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 11 00 999 99.0 99.0  0.64  8.33  4.74  97 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 11 30 999 99.0 99.0  0.63 16.67  4.99  76 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 12 00 999 99.0 99.0  0.64  8.33  4.66 102 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 12 30 999 99.0 99.0  0.60  5.00  4.86 118 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 13 00 999 99.0 99.0  0.60 15.38  4.83  73 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 13 30 999 99.0 99.0  0.61 16.67  4.76  69 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 14 00 999 99.0 99.0  0.57  4.35  4.78 116 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 14 30 999 99.0 99.0  0.57 16.67  4.96  73 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 01 15 00 999 99.0 99.0  0.60  4.55  4.72 112 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 15 30 999 99.0 99.0  0.58 16.67  4.83  76 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 01 16 00 999 99.0 99.0  0.59 16.67  4.73  87 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 01 16 30 999 99.0 99.0  0.57 16.67  4.96  83 9999.0 999.0  23.4 999.0 99.0 99.00
2019 01 01 17 00 999 99.0 99.0  0.57  8.33  4.91 108 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 01 17 30 999 99.0 99.0  0.58 15.38  4.90  81 9999.0 999.0  23.5 999.0 99.0 99.00
2019 01 01 18 00 999 99.0 99.0  0.58 16.67  4.99  76 9999.0 999.0  23.8 999.0 99.0 99.00
2019 01 01 18 30 999 99.0 99.0  0.57 15.38  4.92  71 9999.0 999.0  23.9 999.0 99.0 99.00
2019 01 01 19 00 999 99.0 99.0  0.58 15.38  5.04  66 9999.0 999.0  23.7 999.0 99.0 99.00
2019 01 01 19 30 999 99.0 99.0  0.56 14.29  4.79  81 9999.0 999.0  23.8 999.0 99.0 99.00
2019 01 01 20 00 999 99.0 99.0  0.53 15.38  4.68  76 9999.0 999.0  23.7 999.0 99.0 99.00
2019 01 01 20 30 999 99.0 99.0  0.57 15.38  4.87  66 9999.0 999.0  23.6 999.0 99.0 99.00
2019 01 01 21 00 999 99.0 99.0  0.60 15.38  4.88  80 9999.0 999.0  23.4 999.0 99.0 99.00
2019 01 01 21 30 999 99.0 99.0  0.61 14.29  4.81  80 9999.0 999.0  23.3 999.0 99.0 99.00
2019 01 01 22 00 999 99.0 99.0  0.59 15.38  4.76  80 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 01 22 30 999 99.0 99.0  0.60 15.38  4.52  85 9999.0 999.0  23.2 999.0 99.0 99.00
2019 01 01 23 00 999 99.0 99.0  0.61 14.29  4.64  67 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 01 23 30 999 99.0 99.0  0.61 14.29  4.49  94 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 00 00 999 99.0 99.0  0.61 14.29  4.70  84 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 00 30 999 99.0 99.0  0.63 14.29  4.69  83 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 01 00 999 99.0 99.0  0.62 15.38  4.62  74 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 01 30 999 99.0 99.0  0.64 15.38  4.69  85 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 02 00 999 99.0 99.0  0.64  4.35  4.70 118 9999.0 999.0  23.1 999.0 99.0 99.00
2019 01 02 02 30 999 99.0 99.0  0.63 15.38  4.57  97 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 02 03 00 999 99.0 99.0  0.63  4.55  4.42 116 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 02 03 30 999 99.0 99.0  0.66  4.76  4.12 119 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 04 00 999 99.0 99.0  0.68 14.29  4.11  88 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 02 04 30 999 99.0 99.0  0.68  3.85  4.11 119 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 05 00 999 99.0 99.0  0.66  3.85  4.08 122 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 05 30 999 99.0 99.0  0.64  9.09  4.14 112 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 06 00 999 99.0 99.0  0.65 14.29  4.28  87 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 02 06 30 999 99.0 99.0  0.66  9.09  4.48 111 9999.0 999.0  22.9 999.0 99.0 99.00
