#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  0.91 16.67  6.40 243 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 00 30 999 99.0 99.0  0.88 16.67  6.17 228 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 01 00 999 99.0 99.0  0.90 15.38  6.92 237 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 01 30 999 99.0 99.0  0.89 14.29  6.68 243 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 02 00 999 99.0 99.0  0.89 16.67  6.51 240 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 02 30 999 99.0 99.0  0.90 16.67  5.04 204 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 03 00 999 99.0 99.0  0.99 16.67  5.56 216 9999.0 999.0  15.4 999.0 99.0 99.00
2019 01 01 03 30 999 99.0 99.0  0.95 16.67  5.45 221 9999.0 999.0  15.4 999.0 99.0 99.00
2019 01 01 04 30 999 99.0 99.0  1.02 15.38  4.55 239 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 05 00 999 99.0 99.0  1.04 15.38  4.41 242 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 05 30 999 99.0 99.0  0.97 16.67  4.44 260 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 06 00 999 99.0 99.0  0.96 15.38  4.46 216 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 06 30 999 99.0 99.0  0.93 15.38  5.12 263 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 07 00 999 99.0 99.0  0.77 16.67  4.93 235 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 07 30 999 99.0 99.0  0.78 15.38  5.37 215 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 08 00 999 99.0 99.0  0.74 15.38  4.58 243 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 08 30 999 99.0 99.0  0.97 15.38  4.52 239 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 09 00 999 99.0 99.0  0.97 15.38  4.07 230 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 09 30 999 99.0 99.0  1.04 15.38  4.31 226 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 10 00 999 99.0 99.0  0.99 15.38  4.36 251 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 10 30 999 99.0 99.0  0.98 15.38  4.13 229 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 11 00 999 99.0 99.0  1.05 15.38  4.52 246 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 11 30 999 99.0 99.0  1.02 15.38  4.22 235 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 12 00 999 99.0 99.0  1.01 15.38  4.26 225 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 12 30 999 99.0 99.0  0.97 15.38  4.24 229 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 13 00 999 99.0 99.0  0.99 15.38  4.28 229 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 13 30 999 99.0 99.0  0.96 15.38  4.02 208 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 14 00 999 99.0 99.0  1.05 15.38  4.30 254 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 14 30 999 99.0 99.0  0.99 15.38  4.04 236 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 15 00 999 99.0 99.0  0.89 15.38  4.28 236 9999.0 999.0  15.2 999.0 99.0 99.00
2019 01 01 15 30 999 99.0 99.0  0.86 15.38  5.28 211 9999.0 999.0  15.2 999.0 99.0 99.00
