#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
#yr	mo	dy	hr	mn	deg	T m/s	m/s	m	sec	sec	deg	T   hPa	degC	degC	degC	mi	ft
2019	1	1	0	0	999	99	99	0.91	9.09	4.27	77	9999	999	24.5	999	99	99
2019	1	1	0	30	999	99	99	0.91	4.76	4.26	88	9999	999	24.5	999	99	99
2019	1	1	1	0	999	99	99	0.89	4.35	4.12	92	9999	999	24.5	999	99	99
2019	1	1	1	30	999	99	99	0.93	4.76	4.06	95	9999	999	24.5	999	99	99
2019	1	1	2	0	999	99	99	0.88	4.17	3.94	111	9999	999	24.4	999	99	99
2019	1	1	2	30	999	99	99	0.88	4.76	4.15	98	9999	999	24.4	999	99	99
2019	1	1	3	0	999	99	99	0.92	4.17	4.32	107	9999	999	24.4	999	99	99
2019	1	1	3	30	999	99	99	0.88	4.17	4.18	111	9999	999	24.4	999	99	99
2019	1	1	4	0	999	99	99	0.83	4.55	4.26	102	9999	999	24.5	999	99	99
2019	1	1	4	30	999	99	99	0.81	5.26	4.29	105	9999	999	24.5	999	99	99
2019	1	1	5	0	999	99	99	0.84	5.26	4.4	104	9999	999	24.5	999	99	99
2019	1	1	5	30	999	99	99	0.8	5.26	4.46	101	9999	999	24.5	999	99	99
2019	1	1	6	0	999	99	99	0.78	4.76	4.52	99	9999	999	24.5	999	99	99
2019	1	1	6	30	999	99	99	0.74	5	4.53	95	9999	999	24.5	999	99	99
2019	1	1	7	0	999	99	99	0.73	5.26	4.62	98	9999	999	24.5	999	99	99
2019	1	1	7	30	999	99	99	0.74	5.56	4.79	102	9999	999	24.5	999	99	99
2019	1	1	8	0	999	99	99	0.74	5.88	4.78	92	9999	999	24.4	999	99	99
2019	1	1	8	30	999	99	99	0.75	18.18	4.83	57	9999	999	24.4	999	99	99
2019	1	1	9	0	999	99	99	0.77	8.33	4.88	73	9999	999	24.4	999	99	99
2019	1	1	9	30	999	99	99	0.76	16.67	4.66	74	9999	999	24.4	999	99	99
2019	1	1	10	0	999	99	99	0.76	4.55	4.7	105	9999	999	24.4	999	99	99
2019	1	1	10	30	999	99	99	0.73	4.55	4.8	95	9999	999	24.4	999	99	99
2019	1	1	11	0	999	99	99	0.72	16.67	5.06	69	9999	999	24.4	999	99	99
2019	1	1	11	30	999	99	99	0.73	16.67	4.98	64	9999	999	24.3	999	99	99
2019	1	1	12	0	999	99	99	0.73	16.67	5.09	69	9999	999	24.3	999	99	99
2019	1	1	12	30	999	99	99	0.72	16.67	5.11	83	9999	999	24.3	999	99	99
2019	1	1	13	0	999	99	99	0.73	16.67	5.09	81	9999	999	24.4	999	99	99
2019	1	1	13	30	999	99	99	0.71	16.67	5.14	69	9999	999	24.4	999	99	99
2019	1	1	14	0	999	99	99	0.71	16.67	5.09	80	9999	999	24.4	999	99	99
2019	1	1	14	30	999	99	99	0.77	15.38	5.17	69	9999	999	24.4	999	99	99
2019	1	1	15	0	999	99	99	0.77	16.67	5.37	73	9999	999	24.6	999	99	99
2019	1	1	15	30	999	99	99	0.76	15.38	4.86	70	9999	999	24.7	999	99	99
2019	1	1	16	0	999	99	99	0.81	16.67	4.92	67	9999	999	24.8	999	99	99
2019	1	1	16	30	999	99	99	0.74	15.38	4.79	69	9999	999	24.8	999	99	99
2019	1	1	17	0	999	99	99	0.81	15.38	4.7	73	9999	999	24.6	999	99	99
2019	1	1	17	30	999	99	99	0.82	15.38	4.57	73	9999	999	24.6	999	99	99
2019	1	1	18	0	999	99	99	0.81	15.38	4.75	71	9999	999	24.6	999	99	99
2019	1	1	18	30	999	99	99	0.75	16.67	4.56	71	9999	999	24.5	999	99	99
2019	1	1	19	0	999	99	99	0.78	15.38	4.69	76	9999	999	24.6	999	99	99
2019	1	1	19	30	999	99	99	0.81	15.38	4.65	73	9999	999	24.6	999	99	99
2019	1	1	20	0	999	99	99	0.88	14.29	4.62	67	9999	999	24.7	999	99	99
2019	1	1	20	30	999	99	99	0.86	14.29	4.5	62	9999	999	24.6	999	99	99
2019	1	1	21	0	999	99	99	0.9	15.38	4.38	62	9999	999	24.6	999	99	99
2019	1	1	21	30	999	99	99	0.88	15.38	4.28	52	9999	999	24.6	999	99	99
2019	1	1	22	0	999	99	99	0.88	15.38	4.29	66	9999	999	24.5	999	99	99
2019	1	1	22	30	999	99	99	0.84	15.38	4.44	59	9999	999	24.5	999	99	99
2019	1	1	23	0	999	99	99	0.88	15.38	4.37	74	9999	999	24.4	999	99	99
2019	1	1	23	30	999	99	99	0.88	15.38	4.58	74	9999	999	24.4	999	99	99
2019	1	2	0	0	999	99	99	0.88	15.38	4.51	62	9999	999	24.4	999	99	99
2019	1	2	0	30	999	99	99	0.83	14.29	4.6	69	9999	999	24.4	999	99	99
2019	1	2	1	0	999	99	99	0.87	15.38	4.78	63	9999	999	24.4	999	99	99
2019	1	2	1	30	999	99	99	0.84	14.29	4.65	67	9999	999	24.4	999	99	99
2019	1	2	2	0	999	99	99	0.8	15.38	4.66	63	9999	999	24.4	999	99	99
2019	1	2	2	30	999	99	99	0.81	15.38	4.56	64	9999	999	24.4	999	99	99
2019	1	2	3	0	999	99	99	0.77	14.29	4.58	70	9999	999	24.3	999	99	99
2019	1	2	3	30	999	99	99	0.75	15.38	4.69	50	9999	999	24.3	999	99	99
2019	1	2	4	0	999	99	99	0.73	14.29	4.79	69	9999	999	24.3	999	99	99
2019	1	2	4	30	999	99	99	0.73	14.29	5.1	70	9999	999	24.3	999	99	99
2019	1	2	5	0	999	99	99	0.72	15.38	5	67	9999	999	24.3	999	99	99
2019	1	2	5	30	999	99	99	0.68	14.29	4.72	69	9999	999	24.3	999	99	99
2019	1	2	6	0	999	99	99	0.68	13.33	4.77	63	9999	999	24.3	999	99	99
2019	1	2	6	30	999	99	99	0.74	15.38	5.25	70	9999	999	24.3	999	99	99
2019	1	2	7	0	999	99	99	0.67	14.29	4.93	69	9999	999	24.2	999	99	99
2019	1	2	7	30	999	99	99	0.65	14.29	5.15	63	9999	999	24.2	999	99	99
2019	1	2	8	0	999	99	99	0.68	15.38	5.29	64	9999	999	24.2	999	99	99
2019	1	2	8	30	999	99	99	0.65	14.29	5.27	67	9999	999	24.2	999	99	99
2019	1	2	9	0	999	99	99	0.62	14.29	5.31	69	9999	999	24.2	999	99	99
2019	1	2	9	30	999	99	99	0.6	14.29	5.05	84	9999	999	24.2	999	99	99
2019	1	2	10	0	999	99	99	0.61	13.33	4.87	63	9999	999	24.2	999	99	99
2019	1	2	10	30	999	99	99	0.55	15.38	4.62	66	9999	999	24.2	999	99	99
2019	1	2	11	0	999	99	99	0.58	14.29	4.98	78	9999	999	24.2	999	99	99
2019	1	2	11	30	999	99	99	0.56	14.29	5.04	73	9999	999	24.1	999	99	99
2019	1	2	12	0	999	99	99	0.56	14.29	5.41	60	9999	999	24.1	999	99	99
2019	1	2	21	0	999	99	99	0.5	13.33	6.17	70	9999	999	25	999	99	99
2019	1	2	21	30	999	99	99	0.47	14.29	5.75	60	9999	999	24.8	999	99	99
2019	1	2	22	0	999	99	99	0.41	12.5	4.81	73	9999	999	24.7	999	99	99
2019	1	2	22	30	999	99	99	0.45	13.33	5.03	69	9999	999	24.8	999	99	99
2019	1	2	23	0	999	99	99	0.46	13.33	4.7	60	9999	999	24.7	999	99	99
2019	1	2	23	30	999	99	99	0.51	14.29	4.77	70	9999	999	24.8	999	99	99
2019	1	3	0	30	999	99	99	0.5	14.29	4.36	67	9999	999	24.6	999	99	99
2019	1	3	1	0	999	99	99	0.54	14.29	4.66	74	9999	999	24.8	999	99	99
2019	1	3	1	30	999	99	99	0.56	14.29	4.01	73	9999	999	24.6	999	99	99
2019	1	3	2	0	999	99	99	0.63	9.09	3.78	74	9999	999	24.7	999	99	99
2019	1	3	2	30	999	99	99	0.61	12.5	3.63	70	9999	999	24.8	999	99	99
2019	1	3	3	0	999	99	99	0.64	14.29	3.61	74	9999	999	24.7	999	99	99
2019	1	3	3	30	999	99	99	0.71	3.03	3.58	136	9999	999	24.7	999	99	99
2019	1	3	4	0	999	99	99	0.7	3.12	3.51	128	9999	999	24.6	999	99	99
2019	1	3	4	30	999	99	99	0.73	12.5	3.54	57	9999	999	24.6	999	99	99
2019	1	3	5	0	999	99	99	0.67	12.5	3.6	71	9999	999	24.6	999	99	99
2019	1	3	5	30	999	99	99	0.69	3.45	3.55	94	9999	999	24.6	999	99	99
2019	1	3	6	0	999	99	99	0.69	9.09	3.52	70	9999	999	24.6	999	99	99
2019	1	3	6	30	999	99	99	0.77	3.57	3.44	109	9999	999	24.6	999	99	99
2019	1	3	7	0	999	99	99	0.79	3.33	3.44	119	9999	999	24.3	999	99	99
2019	1	3	7	30	999	99	99	0.78	3.57	3.49	119	9999	999	24.2	999	99	99
2019	1	3	8	0	999	99	99	0.79	4	3.63	109	9999	999	24.1	999	99	99
2019	1	3	8	30	999	99	99	0.82	4	3.72	116	9999	999	24	999	99	99
2019	1	3	9	0	999	99	99	0.84	4	3.78	121	9999	999	24	999	99	99
2019	1	3	9	30	999	99	99	0.87	4.35	3.8	112	9999	999	23.9	999	99	99
2019	1	3	10	0	999	99	99	0.83	4.35	4	114	9999	999	23.7	999	99	99
2019	1	3	10	30	999	99	99	0.82	4.55	4.04	116	9999	999	23.8	999	99	99
2019	1	3	11	0	999	99	99	0.77	4.35	4.06	118	9999	999	23.8	999	99	99
2019	1	3	11	30	999	99	99	0.8	4.55	4.33	112	9999	999	23.7	999	99	99
2019	1	3	12	0	999	99	99	0.82	4.55	4.23	111	9999	999	23.8	999	99	99
2019	1	3	12	30	999	99	99	0.76	4.35	4.24	112	9999	999	23.8	999	99	99
2019	1	3	13	0	999	99	99	0.79	4.76	4.3	114	9999	999	23.9	999	99	99
2019	1	3	13	30	999	99	99	0.84	4.55	4.33	116	9999	999	23.9	999	99	99
2019	1	3	14	0	999	99	99	0.81	4.55	4.42	115	9999	999	23.9	999	99	99
2019	1	3	14	30	999	99	99	0.78	4.76	4.2	111	9999	999	24	999	99	99
2019	1	3	15	0	999	99	99	0.79	4.76	4.45	105	9999	999	24	999	99	99
2019	1	3	15	30	999	99	99	0.78	4.55	4.35	112	9999	999	24.1	999	99	99
2019	1	3	16	0	999	99	99	0.83	4.76	4.53	114	9999	999	24.1	999	99	99
2019	1	3	16	30	999	99	99	0.81	4.76	4.43	119	9999	999	24.2	999	99	99
2019	1	3	17	0	999	99	99	0.86	5	4.53	108	9999	999	24.3	999	99	99
2019	1	3	17	30	999	99	99	0.8	5	4.24	107	9999	999	24.4	999	99	99
2019	1	3	18	0	999	99	99	0.77	5.26	4.02	104	9999	999	24.4	999	99	99
2019	1	3	18	30	999	99	99	0.77	5.56	4.03	115	9999	999	24.5	999	99	99
