#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 27 999 99.0 99.0  2.26  9.88  8.29 295 9999.0 999.0  15.1 999.0 99.0 99.00
2019 01 01 00 57 999 99.0 99.0  2.11 11.76  7.91 279 9999.0 999.0  14.6 999.0 99.0 99.00
2019 01 01 01 27 999 99.0 99.0  2.10 10.53  8.08 290 9999.0 999.0  14.5 999.0 99.0 99.00
2019 01 01 01 57 999 99.0 99.0  2.17 10.53  8.33 292 9999.0 999.0  14.2 999.0 99.0 99.00
2019 01 01 02 27 999 99.0 99.0  2.05 11.11  7.98 278 9999.0 999.0  13.3 999.0 99.0 99.00
2019 01 01 02 57 999 99.0 99.0  1.91  9.88  7.84 295 9999.0 999.0  12.8 999.0 99.0 99.00
2019 01 01 03 27 999 99.0 99.0  1.84 11.76  8.02 272 9999.0 999.0  12.7 999.0 99.0 99.00
2019 01 01 03 57 999 99.0 99.0  1.98  9.88  8.20 290 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 01 04 27 999 99.0 99.0  1.95 10.53  8.29 289 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 01 04 57 999 99.0 99.0  1.90 10.53  8.25 288 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 01 05 27 999 99.0 99.0  1.87 11.76  8.36 276 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 05 57 999 99.0 99.0  1.83 10.53  8.51 296 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 01 06 27 999 99.0 99.0  1.81 11.11  8.55 286 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 06 57 999 99.0 99.0  2.00 11.11  8.68 281 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 07 27 999 99.0 99.0  1.95 11.11  8.57 282 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 01 07 57 999 99.0 99.0  1.84 11.11  8.52 288 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 01 08 27 999 99.0 99.0  1.69 11.11  8.28 285 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 01 08 57 999 99.0 99.0  1.69 10.53  8.23 290 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 01 09 27 999 99.0 99.0  1.91 10.53  8.56 290 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 01 09 57 999 99.0 99.0  1.79 11.11  8.69 283 9999.0 999.0  12.2 999.0 99.0 99.00
2019 01 01 10 27 999 99.0 99.0  1.72 10.53  8.34 293 9999.0 999.0  12.1 999.0 99.0 99.00
2019 01 01 10 57 999 99.0 99.0  1.64 10.53  8.33 297 9999.0 999.0  12.2 999.0 99.0 99.00
2019 01 01 11 27 999 99.0 99.0  1.75  9.88  8.32 290 9999.0 999.0  12.2 999.0 99.0 99.00
2019 01 01 11 57 999 99.0 99.0  1.73 10.53  8.29 292 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 12 27 999 99.0 99.0  1.79 10.53  8.31 290 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 12 57 999 99.0 99.0  1.65  9.88  8.23 300 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 13 27 999 99.0 99.0  1.82  9.88  8.43 293 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 13 57 999 99.0 99.0  1.68  9.88  8.10 290 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 14 27 999 99.0 99.0  1.67  9.88  7.94 293 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 14 57 999 99.0 99.0  1.63  9.88  8.06 295 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 15 27 999 99.0 99.0  1.57 10.53  7.80 290 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 15 57 999 99.0 99.0  1.67 10.53  8.02 295 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 16 27 999 99.0 99.0  1.50 11.11  7.79 283 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 16 57 999 99.0 99.0  1.60  8.33  7.74 293 9999.0 999.0  12.3 999.0 99.0 99.00
2019 01 01 17 27 999 99.0 99.0  1.42 10.53  7.55 293 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 17 57 999 99.0 99.0  1.57 10.53  7.85 292 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 01 18 27 999 99.0 99.0  1.48  9.88  7.74 290 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 01 18 57 999 99.0 99.0  1.56 12.50  8.00 268 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 01 19 27 999 99.0 99.0  1.38 13.33  7.71 267 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 01 19 57 999 99.0 99.0  1.32 13.33  7.72 262 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 01 20 27 999 99.0 99.0  1.31 11.76  7.78 269 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 01 20 57 999 99.0 99.0  1.26 11.11  8.04 278 9999.0 999.0  12.7 999.0 99.0 99.00
2019 01 01 21 27 999 99.0 99.0  1.33 12.50  7.92 269 9999.0 999.0  12.6 999.0 99.0 99.00
