#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  1.26  9.88  6.62 282 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 00 30 999 99.0 99.0  1.30  9.88  6.18 281 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 01 00 999 99.0 99.0  1.34  9.88  5.93 286 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 01 30 999 99.0 99.0  1.27 10.53  5.47 290 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 02 00 999 99.0 99.0  1.24 15.38  5.08 261 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 02 30 999 99.0 99.0  1.28 15.38  5.57 274 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 03 00 999 99.0 99.0  1.17 11.11  5.29 293 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 03 30 999 99.0 99.0  1.07 14.29  5.48 265 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 04 30 999 99.0 99.0  0.87 13.33  5.35 271 9999.0 999.0  15.7 999.0 99.0 99.00
2019 01 01 05 00 999 99.0 99.0  0.86 13.33  5.52 261 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 05 30 999 99.0 99.0  0.85 14.29  5.19 265 9999.0 999.0  15.4 999.0 99.0 99.00
2019 01 01 06 00 999 99.0 99.0  0.87 14.29  5.42 269 9999.0 999.0  15.4 999.0 99.0 99.00
2019 01 01 06 30 999 99.0 99.0  0.96 14.29  4.99 265 9999.0 999.0  15.3 999.0 99.0 99.00
2019 01 01 07 00 999 99.0 99.0  1.03 13.33  5.34 261 9999.0 999.0  15.4 999.0 99.0 99.00
2019 01 01 07 30 999 99.0 99.0  1.01 15.38  4.97 248 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 08 00 999 99.0 99.0  1.06 14.29  4.98 271 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 08 30 999 99.0 99.0  0.98 14.29  4.65 269 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 09 00 999 99.0 99.0  0.93 12.50  4.56 272 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 09 30 999 99.0 99.0  1.00 15.38  4.64 248 9999.0 999.0  15.5 999.0 99.0 99.00
2019 01 01 10 00 999 99.0 99.0  0.93 14.29  4.23 283 9999.0 999.0  15.5 999.0 99.0 99.00
